student_id,college_id,subject_id,rank,score
18,13,3,2,10
18,9,4,3,200
18,17,3,4,10
18,6,3,5,10
18,5,1,6,320
18,15,1,7,320
18,12,2,8,320
19,11,4,1,450
19,13,3,2,270
19,16,2,3,200
19,4,3,4,270
19,15,1,5,60
19,5,1,6,60
19,10,3,7,270
19,18,4,8,450
19,8,2,9,200
20,1,3,1,340
20,8,2,2,140
20,14,2,3,140
20,16,2,4,140
20,4,3,5,340
20,5,1,6,330
21,10,3,1,200
21,16,2,2,50
21,20,1,3,410
21,8,2,4,50
21,15,1,5,410
21,2,2,6,50
21,12,2,7,50
22,14,2,1,80
22,1,3,2,80
22,20,1,3,310
22,18,4,4,170
22,6,3,5,80
22,12,2,6,80
22,10,3,7,80
23,4,3,1,210
23,14,2,2,390
23,8,2,3,390
23,7,3,4,210
23,16,2,5,390
23,10,3,6,210
23,6,3,7,210
23,17,3,8,210
23,5,1,9,390
24,7,3,1,260
24,20,1,2,270
24,13,3,3,260
24,2,2,4,70
24,19,2,5,70
24,14,2,6,70
24,4,3,7,260
24,15,1,8,270
24,10,3,9,260
24,11,4,10,10
25,3,3,1,300
25,17,3,2,300
25,1,3,3,300
25,7,3,4,300
25,13,3,5,300
25,20,1,6,200
26,6,3,1,60
26,16,2,2,180
26,4,3,3,60
26,20,1,4,140
26,19,2,5,180
26,10,3,6,60
26,11,4,7,320
26,5,1,8,140
26,14,2,9,180
26,18,4,10,320
27,5,1,1,480
27,7,3,2,400
27,19,2,3,410
27,13,3,4,400
27,14,2,5,410
27,8,2,6,410
27,2,2,7,410
27,1,3,8,400
27,18,4,9,140
28,6,3,1,390
28,5,1,2,270
28,15,1,3,270
28,12,2,4,460
28,18,4,5,440
28,17,3,6,390
28,1,3,7,390
29,3,3,1,240
29,6,3,2,240
29,13,3,3,240
29,18,4,4,340
29,8,2,5,180
29,14,2,6,180
29,19,2,7,180
29,7,3,8,240
29,11,4,9,340
30,1,3,1,30
30,2,2,2,310
30,7,3,3,30
30,13,3,4,30
30,15,1,5,410
30,14,2,6,310
31,4,3,1,190
31,8,2,2,160
31,2,2,3,160
31,12,2,4,160
31,15,1,5,250
31,7,3,6,190
32,2,2,1,120
32,8,2,2,120
32,1,3,3,420
32,12,2,4,120
32,13,3,5,420
32,9,4,6,240
32,11,4,7,240
33,18,4,1,490
33,3,3,2,110
33,14,2,3,390
33,6,3,4,110
33,7,3,5,110
33,11,4,6,490
33,9,4,7,490
33,12,2,8,390
33,1,3,9,110
34,13,3,1,180
34,20,1,2,180
34,11,4,3,380
34,3,3,4,180
34,10,3,5,180
34,2,2,6,200
34,8,2,7,200
34,14,2,8,200
34,6,3,9,180
34,12,2,10,200
35,18,4,1,140
35,12,2,2,50
35,6,3,3,390
35,13,3,4,390
35,10,3,5,390
35,1,3,6,390
35,5,1,7,70
35,16,2,8,50
36,19,2,1,250
36,3,3,2,450
36,4,3,3,450
36,5,1,4,360
36,9,4,5,380
37,11,4,1,160
37,20,1,2,370
37,14,2,3,390
37,3,3,4,470
37,9,4,5,160
37,4,3,6,470
38,15,1,1,150
38,8,2,2,340
38,4,3,3,140
38,17,3,4,140
38,1,3,5,140
38,3,3,6,140
38,20,1,7,150
38,13,3,8,140
39,7,3,1,280
39,13,3,2,280
39,17,3,3,280
39,8,2,4,270
39,14,2,5,270
39,2,2,6,270
39,5,1,7,200
39,1,3,8,280
40,1,3,1,490
40,13,3,2,490
40,9,4,3,350
40,4,3,4,490
40,2,2,5,120
41,4,3,1,310
41,17,3,2,310
41,1,3,3,310
41,10,3,4,310
41,11,4,5,90
41,14,2,6,120
41,5,1,7,270
41,18,4,8,90
41,7,3,9,310
42,15,1,1,250
42,17,3,2,80
42,13,3,3,80
42,7,3,4,80
42,12,2,5,80
42,3,3,6,80
42,8,2,7,80
42,10,3,8,80
42,14,2,9,80
43,15,1,1,240
43,1,3,2,140
43,2,2,3,240
43,4,3,4,140
43,5,1,5,240
43,7,3,6,140
43,19,2,7,240
43,12,2,8,240
43,20,1,9,240
43,8,2,10,240
44,2,2,1,240
44,7,3,2,190
44,10,3,3,190
44,18,4,4,390
44,5,1,5,350
45,18,4,1,50
45,17,3,2,200
45,20,1,3,450
45,14,2,4,330
45,6,3,5,200
45,1,3,6,200
45,3,3,7,200
46,8,2,1,380
46,12,2,2,380
46,11,4,3,380
46,1,3,4,400
46,18,4,5,380
46,15,1,6,430
46,16,2,7,380
46,13,3,8,400
46,6,3,9,400
46,10,3,10,400
47,14,2,1,60
47,10,3,2,180
47,7,3,3,180
47,4,3,4,180
47,12,2,5,60
47,17,3,6,180
47,3,3,7,180
47,6,3,8,180
48,5,1,1,120
48,14,2,2,220
48,6,3,3,50
48,16,2,4,220
48,15,1,5,120
48,13,3,6,50
48,17,3,7,50
48,18,4,8,310
48,11,4,9,310
48,20,1,10,120
49,8,2,1,430
49,5,1,2,40
49,13,3,3,470
49,19,2,4,430
49,6,3,5,470
49,9,4,6,0
50,4,3,1,340
50,15,1,2,180
50,9,4,3,340
50,2,2,4,320
50,5,1,5,180
50,12,2,6,320
50,17,3,7,340
50,7,3,8,340
51,15,1,1,350
51,2,2,2,90
51,12,2,3,90
51,4,3,4,110
51,20,1,5,350
51,6,3,6,110
51,1,3,7,110
52,2,2,1,20
52,7,3,2,480
52,5,1,3,180
52,20,1,4,180
52,15,1,5,180
52,14,2,6,20
52,11,4,7,460
52,6,3,8,480
52,4,3,9,480
52,8,2,10,20
53,2,2,1,240
53,4,3,2,400
53,7,3,3,400
53,8,2,4,240
53,10,3,5,400
53,5,1,6,20
53,1,3,7,400
54,16,2,1,210
54,8,2,2,210
54,2,2,3,210
54,11,4,4,380
54,12,2,5,210
54,14,2,6,210
55,4,3,1,200
55,3,3,2,200
55,7,3,3,200
55,12,2,4,380
55,9,4,5,330
56,5,1,1,310
56,15,1,2,310
56,14,2,3,390
56,19,2,4,390
56,20,1,5,310
56,1,3,6,440
56,2,2,7,390
56,17,3,8,440
57,7,3,1,300
57,1,3,2,300
57,15,1,3,300
57,9,4,4,420
57,6,3,5,300
57,20,1,6,300
57,4,3,7,300
58,12,2,1,470
58,11,4,2,440
58,10,3,3,160
58,2,2,4,470
58,16,2,5,470
58,8,2,6,470
59,19,2,1,440
59,18,4,2,490
59,20,1,3,10
59,16,2,4,440
59,8,2,5,440
59,4,3,6,120
59,10,3,7,120
59,6,3,8,120
59,13,3,9,120
59,14,2,10,440
60,4,3,1,400
60,11,4,2,10
60,1,3,3,400
60,18,4,4,10
60,5,1,5,460
60,17,3,6,400
60,20,1,7,460
60,13,3,8,400
61,14,2,1,380
61,15,1,2,0
61,7,3,3,130
61,17,3,4,130
61,6,3,5,130
61,8,2,6,380
61,20,1,7,0
61,12,2,8,380
61,10,3,9,130
62,5,1,1,50
62,12,2,2,380
62,10,3,3,430
62,18,4,4,140
62,7,3,5,430
62,19,2,6,380
63,19,2,1,120
63,16,2,2,120
63,2,2,3,120
63,15,1,4,420
63,20,1,5,420
63,13,3,6,20
63,10,3,7,20
63,7,3,8,20
63,4,3,9,20
64,12,2,1,200
64,8,2,2,200
64,3,3,3,70
64,7,3,4,70
64,2,2,5,200
65,2,2,1,130
65,4,3,2,270
65,18,4,3,450
65,17,3,4,270
65,8,2,5,130
66,1,3,1,140
66,15,1,2,300
66,5,1,3,300
66,10,3,4,140
66,12,2,5,170
66,13,3,6,140
67,3,3,1,270
67,5,1,2,50
67,11,4,3,410
67,17,3,4,270
67,9,4,5,410
67,7,3,6,270
67,15,1,7,50
67,8,2,8,0
67,10,3,9,270
68,10,3,1,400
68,16,2,2,370
68,1,3,3,400
68,13,3,4,400
68,6,3,5,400
69,4,3,1,340
69,15,1,2,430
69,17,3,3,340
69,12,2,4,130
69,10,3,5,340
69,19,2,6,130
69,18,4,7,300
69,20,1,8,430
69,9,4,9,300
69,3,3,10,340
70,10,3,1,0
70,8,2,2,140
70,4,3,3,0
70,14,2,4,140
70,3,3,5,0
70,17,3,6,0
70,13,3,7,0
71,10,3,1,370
71,15,1,2,0
71,2,2,3,90
71,17,3,4,370
71,20,1,5,0
71,6,3,6,370
71,4,3,7,370
71,16,2,8,90
72,17,3,1,120
72,19,2,2,490
72,1,3,3,120
72,12,2,4,490
72,15,1,5,60
73,8,2,1,280
73,7,3,2,90
73,11,4,3,330
73,12,2,4,280
73,15,1,5,130
73,5,1,6,130
74,13,3,1,340
74,12,2,2,140
74,4,3,3,340
74,20,1,4,140
74,17,3,5,340
74,8,2,6,140
74,1,3,7,340
74,18,4,8,250
74,14,2,9,140
75,15,1,1,470
75,2,2,2,240
75,13,3,3,390
75,1,3,4,390
75,5,1,5,470
75,8,2,6,240
75,11,4,7,310
75,14,2,8,240
75,20,1,9,470
75,3,3,10,390
76,14,2,1,440
76,13,3,2,170
76,2,2,3,440
76,12,2,4,440
76,18,4,5,380
76,16,2,6,440
76,17,3,7,170
76,5,1,8,100
77,5,1,1,480
77,12,2,2,330
77,8,2,3,330
77,14,2,4,330
77,6,3,5,470
77,13,3,6,470
77,3,3,7,470
77,9,4,8,360
77,10,3,9,470
77,16,2,10,330
78,19,2,1,320
78,16,2,2,320
78,1,3,3,10
78,12,2,4,320
78,5,1,5,350
78,4,3,6,10
78,7,3,7,10
78,18,4,8,250
78,2,2,9,320
79,13,3,1,20
79,19,2,2,400
79,11,4,3,180
79,17,3,4,20
79,7,3,5,20
79,18,4,6,180
79,1,3,7,20
80,11,4,1,240
80,20,1,2,390
80,3,3,3,430
80,4,3,4,430
80,18,4,5,240
80,13,3,6,430
80,5,1,7,390
81,13,3,1,490
81,11,4,2,260
81,2,2,3,310
81,12,2,4,310
81,1,3,5,490
82,14,2,1,320
82,8,2,2,320
82,17,3,3,420
82,6,3,4,420
82,7,3,5,420
82,10,3,6,420
82,15,1,7,240
83,9,4,1,420
83,6,3,2,0
83,12,2,3,200
83,15,1,4,220
83,19,2,5,200
83,8,2,6,200
83,17,3,7,0
84,2,2,1,120
84,7,3,2,220
84,6,3,3,220
84,4,3,4,220
84,11,4,5,160
84,12,2,6,120
84,1,3,7,220
84,15,1,8,260
84,13,3,9,220
84,16,2,10,120
85,17,3,1,350
85,7,3,2,350
85,19,2,3,490
85,6,3,4,350
85,8,2,5,490
85,1,3,6,350
85,3,3,7,350
85,4,3,8,350
86,13,3,1,210
86,9,4,2,180
86,18,4,3,180
86,16,2,4,10
86,15,1,5,80
86,14,2,6,10
86,4,3,7,210
86,6,3,8,210
86,10,3,9,210
87,2,2,1,400
87,3,3,2,490
87,13,3,3,490
87,16,2,4,400
87,1,3,5,490
88,7,3,1,0
88,1,3,2,0
88,8,2,3,300
88,19,2,4,300
88,2,2,5,300
88,9,4,6,490
88,18,4,7,490
88,16,2,8,300
88,14,2,9,300
88,20,1,10,480
89,12,2,1,410
89,20,1,2,460
89,4,3,3,460
89,2,2,4,410
89,18,4,5,420
89,14,2,6,410
89,11,4,7,420
89,8,2,8,410
89,19,2,9,410
90,20,1,1,370
90,13,3,2,430
90,3,3,3,430
90,8,2,4,180
90,6,3,5,430
90,9,4,6,410
91,12,2,1,160
91,4,3,2,480
91,9,4,3,460
91,19,2,4,160
91,8,2,5,160
92,3,3,1,350
92,17,3,2,350
92,14,2,3,300
92,13,3,4,350
92,4,3,5,350
92,9,4,6,480
92,10,3,7,350
92,6,3,8,350
92,8,2,9,300
92,18,4,10,480
93,12,2,1,70
93,13,3,2,10
93,9,4,3,120
93,1,3,4,10
93,7,3,5,10
93,15,1,6,430
93,17,3,7,10
93,18,4,8,120
94,2,2,1,210
94,15,1,2,20
94,19,2,3,210
94,14,2,4,210
94,1,3,5,160
94,3,3,6,160
94,9,4,7,150
94,10,3,8,160
94,5,1,9,20
95,10,3,1,150
95,5,1,2,290
95,19,2,3,10
95,11,4,4,430
95,17,3,5,150
95,15,1,6,290
95,18,4,7,430
95,16,2,8,10
96,16,2,1,230
96,19,2,2,230
96,8,2,3,230
96,15,1,4,400
96,13,3,5,220
97,1,3,1,80
97,4,3,2,80
97,15,1,3,440
97,19,2,4,130
97,13,3,5,80
97,18,4,6,480
97,8,2,7,130
97,3,3,8,80
97,20,1,9,440
97,11,4,10,480
98,5,1,1,360
98,20,1,2,360
98,19,2,3,170
98,11,4,4,130
98,10,3,5,320
99,13,3,1,360
99,2,2,2,50
99,12,2,3,50
99,17,3,4,360
99,19,2,5,50
99,7,3,6,360
100,14,2,1,0
100,18,4,2,300
100,3,3,3,10
100,7,3,4,10
100,11,4,5,300
100,4,3,6,10
100,19,2,7,0
100,15,1,8,350
101,18,4,1,340
101,14,2,2,30
101,16,2,3,30
101,12,2,4,30
101,3,3,5,470
101,13,3,6,470
101,8,2,7,30
102,1,3,1,350
102,15,1,2,90
102,5,1,3,90
102,10,3,4,350
102,14,2,5,210
102,4,3,6,350
102,19,2,7,210
102,8,2,8,210
102,6,3,9,350
102,13,3,10,350
103,1,3,1,440
103,20,1,2,190
103,6,3,3,440
103,15,1,4,190
103,3,3,5,440
103,14,2,6,440
103,9,4,7,190
103,19,2,8,440
103,2,2,9,440
103,7,3,10,440
104,16,2,1,130
104,14,2,2,130
104,9,4,3,460
104,4,3,4,310
104,1,3,5,310
104,18,4,6,460
105,20,1,1,490
105,3,3,2,170
105,6,3,3,170
105,7,3,4,170
105,10,3,5,170
105,19,2,6,40
105,1,3,7,170
105,18,4,8,440
105,8,2,9,40
106,7,3,1,220
106,11,4,2,270
106,3,3,3,220
106,16,2,4,370
106,19,2,5,370
106,6,3,6,220
107,15,1,1,130
107,16,2,2,220
107,10,3,3,500
107,8,2,4,220
107,2,2,5,220
107,7,3,6,500
107,14,2,7,220
107,4,3,8,500
107,20,1,9,130
107,19,2,10,220
108,9,4,1,180
108,13,3,2,390
108,11,4,3,180
108,5,1,4,360
108,14,2,5,300
108,12,2,6,300
108,17,3,7,390
108,7,3,8,390
108,6,3,9,390
109,14,2,1,60
109,11,4,2,450
109,13,3,3,50
109,10,3,4,50
109,12,2,5,60
110,13,3,1,460
110,6,3,2,460
110,19,2,3,480
110,12,2,4,480
110,4,3,5,460
110,18,4,6,260
110,1,3,7,460
110,3,3,8,460
110,14,2,9,480
110,16,2,10,480
111,6,3,1,360
111,5,1,2,40
111,15,1,3,40
111,2,2,4,120
111,18,4,5,240
111,16,2,6,120
111,17,3,7,360
112,20,1,1,270
112,9,4,2,170
112,15,1,3,270
112,3,3,4,160
112,7,3,5,160
112,2,2,6,80
112,19,2,7,80
113,14,2,1,350
113,11,4,2,360
113,17,3,3,10
113,9,4,4,360
113,6,3,5,10
113,18,4,6,360
113,4,3,7,10
114,9,4,1,30
114,6,3,2,50
114,16,2,3,450
114,2,2,4,450
114,14,2,5,450
115,5,1,1,400
115,6,3,2,90
115,18,4,3,290
115,16,2,4,370
115,12,2,5,370
115,17,3,6,90
116,9,4,1,80
116,17,3,2,480
116,11,4,3,80
116,7,3,4,480
116,5,1,5,300
116,8,2,6,490
116,16,2,7,490
117,16,2,1,490
117,12,2,2,490
117,19,2,3,490
117,20,1,4,430
117,10,3,5,230
117,13,3,6,230
117,17,3,7,230
117,1,3,8,230
117,14,2,9,490
118,4,3,1,170
118,6,3,2,170
118,16,2,3,240
118,10,3,4,170
118,19,2,5,240
118,3,3,6,170
118,17,3,7,170
119,19,2,1,200
119,4,3,2,460
119,3,3,3,460
119,8,2,4,200
119,2,2,5,200
119,14,2,6,200
119,12,2,7,200
120,19,2,1,370
120,16,2,2,370
120,13,3,3,320
120,20,1,4,410
120,2,2,5,370
120,18,4,6,330
120,4,3,7,320
120,1,3,8,320
120,6,3,9,320
121,8,2,1,330
121,17,3,2,340
121,4,3,3,340
121,10,3,4,340
121,9,4,5,90
121,14,2,6,330
122,17,3,1,420
122,14,2,2,80
122,19,2,3,80
122,1,3,4,420
122,16,2,5,80
122,5,1,6,460
122,15,1,7,460
123,10,3,1,270
123,17,3,2,270
123,3,3,3,270
123,8,2,4,80
123,2,2,5,80
123,13,3,6,270
124,14,2,1,260
124,8,2,2,260
124,6,3,3,70
124,4,3,4,70
124,16,2,5,260
124,20,1,6,410
125,12,2,1,390
125,13,3,2,0
125,4,3,3,0
125,8,2,4,390
125,2,2,5,390
125,3,3,6,0
126,3,3,1,460
126,18,4,2,300
126,1,3,3,460
126,13,3,4,460
126,7,3,5,460
126,11,4,6,300
126,6,3,7,460
126,12,2,8,210
126,15,1,9,340
127,13,3,1,60
127,5,1,2,480
127,19,2,3,140
127,3,3,4,60
127,16,2,5,140
127,11,4,6,270
128,3,3,1,50
128,13,3,2,50
128,16,2,3,200
128,11,4,4,300
128,2,2,5,200
128,6,3,6,50
128,14,2,7,200
128,1,3,8,50
128,8,2,9,200
128,18,4,10,300
129,5,1,1,320
129,20,1,2,320
129,15,1,3,320
129,3,3,4,40
129,6,3,5,40
129,4,3,6,40
129,12,2,7,10
130,3,3,1,340
130,5,1,2,370
130,13,3,3,340
130,18,4,4,80
130,10,3,5,340
130,9,4,6,80
131,8,2,1,230
131,2,2,2,230
131,15,1,3,250
131,20,1,4,250
131,5,1,5,250
131,7,3,6,330
132,10,3,1,270
132,2,2,2,430
132,7,3,3,270
132,6,3,4,270
132,1,3,5,270
133,9,4,1,300
133,11,4,2,300
133,16,2,3,460
133,2,2,4,460
133,14,2,5,460
133,15,1,6,320
133,19,2,7,460
134,6,3,1,170
134,14,2,2,0
134,3,3,3,170
134,5,1,4,300
134,13,3,5,170
134,11,4,6,210
134,19,2,7,0
134,17,3,8,170
135,20,1,1,300
135,12,2,2,400
135,16,2,3,400
135,9,4,4,220
135,17,3,5,300
135,4,3,6,300
135,19,2,7,400
135,13,3,8,300
135,18,4,9,220
136,7,3,1,400
136,5,1,2,130
136,16,2,3,310
136,3,3,4,400
136,12,2,5,310
136,8,2,6,310
136,19,2,7,310
136,1,3,8,400
136,4,3,9,400
136,2,2,10,310
137,16,2,1,320
137,6,3,2,140
137,1,3,3,140
137,19,2,4,320
137,8,2,5,320
137,7,3,6,140
137,14,2,7,320
137,2,2,8,320
138,19,2,1,70
138,11,4,2,190
138,1,3,3,320
138,9,4,4,190
138,18,4,5,190
138,12,2,6,70
138,2,2,7,70
138,5,1,8,80
139,15,1,1,450
139,11,4,2,190
139,6,3,3,270
139,5,1,4,450
139,3,3,5,270
139,8,2,6,220
139,20,1,7,450
139,12,2,8,220
139,1,3,9,270
139,9,4,10,190
140,17,3,1,20
140,6,3,2,20
140,13,3,3,20
140,9,4,4,390
140,10,3,5,20
140,14,2,6,250
140,8,2,7,250
140,12,2,8,250
140,19,2,9,250
140,16,2,10,250
141,15,1,1,410
141,1,3,2,410
141,10,3,3,410
141,13,3,4,410
141,2,2,5,360
141,11,4,6,220
141,6,3,7,410
141,7,3,8,410
141,18,4,9,220
141,16,2,10,360
142,12,2,1,170
142,20,1,2,360
142,6,3,3,370
142,16,2,4,170
142,13,3,5,370
142,9,4,6,370
142,2,2,7,170
142,17,3,8,370
142,1,3,9,370
143,7,3,1,370
143,12,2,2,60
143,9,4,3,330
143,6,3,4,370
143,5,1,5,310
143,2,2,6,60
143,8,2,7,60
143,20,1,8,310
143,17,3,9,370
144,18,4,1,450
144,8,2,2,130
144,15,1,3,340
144,5,1,4,340
144,11,4,5,450
144,7,3,6,370
144,2,2,7,130
144,10,3,8,370
144,16,2,9,130
145,10,3,1,140
145,3,3,2,140
145,2,2,3,200
145,8,2,4,200
145,17,3,5,140
145,9,4,6,370
145,12,2,7,200
145,11,4,8,370
145,20,1,9,420
146,8,2,1,170
146,3,3,2,420
146,17,3,3,420
146,13,3,4,420
146,16,2,5,170
147,13,3,1,190
147,7,3,2,190
147,18,4,3,420
147,15,1,4,490
147,16,2,5,90
148,13,3,1,10
148,8,2,2,320
148,14,2,3,320
148,5,1,4,480
148,3,3,5,10
148,12,2,6,320
148,16,2,7,320
148,15,1,8,480
148,4,3,9,10
148,17,3,10,10
149,2,2,1,130
149,17,3,2,410
149,11,4,3,160
149,3,3,4,410
149,9,4,5,160
149,13,3,6,410
149,1,3,7,410
150,17,3,1,450
150,15,1,2,420
150,11,4,3,480
150,2,2,4,0
150,7,3,5,450
150,20,1,6,420
151,18,4,1,370
151,12,2,2,360
151,8,2,3,360
151,6,3,4,400
151,3,3,5,400
151,20,1,6,470
151,15,1,7,470
152,8,2,1,10
152,10,3,2,320
152,3,3,3,320
152,11,4,4,390
152,7,3,5,320
152,14,2,6,10
152,4,3,7,320
153,4,3,1,140
153,19,2,2,230
153,10,3,3,140
153,2,2,4,230
153,14,2,5,230
153,20,1,6,250
153,7,3,7,140
153,3,3,8,140
154,12,2,1,50
154,14,2,2,50
154,5,1,3,440
154,7,3,4,460
154,10,3,5,460
154,18,4,6,60
154,17,3,7,460
154,4,3,8,460
154,20,1,9,440
154,6,3,10,460
155,16,2,1,270
155,13,3,2,30
155,9,4,3,100
155,19,2,4,270
155,17,3,5,30
155,3,3,6,30
155,12,2,7,270
155,18,4,8,100
156,16,2,1,290
156,19,2,2,290
156,5,1,3,490
156,11,4,4,200
156,8,2,5,290
156,20,1,6,490
157,17,3,1,370
157,20,1,2,70
157,9,4,3,240
157,10,3,4,370
157,18,4,5,240
157,4,3,6,370
157,8,2,7,380
157,19,2,8,380
158,11,4,1,270
158,16,2,2,80
158,15,1,3,0
158,18,4,4,270
158,1,3,5,410
159,7,3,1,270
159,6,3,2,270
159,14,2,3,340
159,12,2,4,340
159,5,1,5,200
159,8,2,6,340
159,1,3,7,270
159,11,4,8,470
159,17,3,9,270
159,20,1,10,200
160,17,3,1,150
160,4,3,2,150
160,16,2,3,280
160,11,4,4,310
160,14,2,5,280
161,7,3,1,80
161,16,2,2,20
161,15,1,3,60
161,18,4,4,480
161,6,3,5,80
161,8,2,6,20
161,3,3,7,80
161,19,2,8,20
161,14,2,9,20
161,1,3,10,80
162,8,2,1,100
162,6,3,2,220
162,1,3,3,220
162,2,2,4,100
162,9,4,5,130
162,4,3,6,220
162,18,4,7,130
162,5,1,8,220
163,6,3,1,390
163,19,2,2,130
163,20,1,3,190
163,10,3,4,390
163,18,4,5,370
163,9,4,6,370
163,13,3,7,390
163,3,3,8,390
163,5,1,9,190
164,2,2,1,170
164,19,2,2,170
164,1,3,3,120
164,5,1,4,40
164,14,2,5,170
164,8,2,6,170
164,10,3,7,120
165,14,2,1,30
165,2,2,2,30
165,4,3,3,30
165,17,3,4,30
165,8,2,5,30
165,11,4,6,80
165,18,4,7,80
165,19,2,8,30
165,1,3,9,30
165,20,1,10,370
166,1,3,1,170
166,20,1,2,450
166,14,2,3,460
166,12,2,4,460
166,6,3,5,170
166,9,4,6,90
166,8,2,7,460
167,15,1,1,70
167,18,4,2,310
167,9,4,3,310
167,3,3,4,450
167,17,3,5,450
167,7,3,6,450
167,10,3,7,450
167,11,4,8,310
167,1,3,9,450
167,14,2,10,290
168,4,3,1,270
168,3,3,2,270
168,15,1,3,460
168,1,3,4,270
168,19,2,5,280
168,18,4,6,340
168,11,4,7,340
168,10,3,8,270
168,8,2,9,280
169,1,3,1,220
169,4,3,2,220
169,7,3,3,220
169,8,2,4,350
169,18,4,5,330
169,6,3,6,220
169,16,2,7,350
169,12,2,8,350
170,13,3,1,160
170,8,2,2,480
170,19,2,3,480
170,5,1,4,490
170,18,4,5,160
170,4,3,6,160
171,11,4,1,50
171,4,3,2,100
171,19,2,3,290
171,7,3,4,100
171,15,1,5,120
172,2,2,1,430
172,4,3,2,350
172,9,4,3,200
172,15,1,4,490
172,7,3,5,350
172,19,2,6,430
172,16,2,7,430
172,10,3,8,350
172,1,3,9,350
173,2,2,1,270
173,8,2,2,270
173,20,1,3,130
173,7,3,4,220
173,9,4,5,460
173,15,1,6,130
173,1,3,7,220
173,4,3,8,220
174,19,2,1,320
174,5,1,2,260
174,4,3,3,480
174,7,3,4,480
174,17,3,5,480
174,14,2,6,320
175,1,3,1,390
175,15,1,2,420
175,4,3,3,390
175,3,3,4,390
175,2,2,5,420
175,16,2,6,420
175,6,3,7,390
175,19,2,8,420
175,5,1,9,420
176,18,4,1,140
176,2,2,2,390
176,16,2,3,390
176,14,2,4,390
176,6,3,5,280
176,15,1,6,250
176,7,3,7,280
176,20,1,8,250
176,1,3,9,280
177,5,1,1,250
177,17,3,2,380
177,13,3,3,380
177,18,4,4,150
177,12,2,5,160
177,15,1,6,250
178,10,3,1,450
178,1,3,2,450
178,20,1,3,240
178,11,4,4,50
178,15,1,5,240
178,14,2,6,430
178,5,1,7,240
178,13,3,8,450
179,20,1,1,160
179,4,3,2,130
179,2,2,3,100
179,19,2,4,100
179,13,3,5,130
180,11,4,1,410
180,19,2,2,370
180,5,1,3,200
180,8,2,4,370
180,4,3,5,210
180,3,3,6,210
180,17,3,7,210
180,2,2,8,370
180,12,2,9,370
181,20,1,1,440
181,13,3,2,280
181,9,4,3,50
181,5,1,4,440
181,4,3,5,280
182,9,4,1,380
182,3,3,2,260
182,13,3,3,260
182,14,2,4,470
182,15,1,5,470
182,17,3,6,260
182,4,3,7,260
183,14,2,1,0
183,7,3,2,190
183,11,4,3,340
183,13,3,4,190
183,6,3,5,190
183,16,2,6,0
183,15,1,7,60
183,20,1,8,60
184,2,2,1,150
184,12,2,2,150
184,7,3,3,170
184,20,1,4,480
